date,datetime,SPOSTMIN,SACTMIN
7/21/2018,7/21/2018 12:02,40,
7/21/2018,7/21/2018 12:09,40,
7/21/2018,7/21/2018 12:16,40,
7/21/2018,7/21/2018 12:23,40,
7/21/2018,7/21/2018 12:29,60,
7/21/2018,7/21/2018 12:37,70,
7/21/2018,7/21/2018 12:44,70,
7/21/2018,7/21/2018 12:51,35,
7/21/2018,7/21/2018 12:58,35,
7/21/2018,7/21/2018 13:02,40,
7/21/2018,7/21/2018 13:09,30,
7/21/2018,7/21/2018 13:16,45,
7/21/2018,7/21/2018 13:23,35,
7/21/2018,7/21/2018 13:29,35,
7/21/2018,7/21/2018 13:37,50,
7/21/2018,7/21/2018 13:44,55,
7/21/2018,7/21/2018 13:51,55,
7/21/2018,7/21/2018 13:58,45,
7/21/2018,7/21/2018 14:02,45,
7/21/2018,7/21/2018 14:09,45,
7/21/2018,7/21/2018 14:16,50,
7/21/2018,7/21/2018 14:23,55,
7/21/2018,7/21/2018 14:29,40,
7/21/2018,7/21/2018 14:37,40,
7/21/2018,7/21/2018 14:44,40,
7/21/2018,7/21/2018 14:51,40,
7/21/2018,7/21/2018 14:58,35,
7/21/2018,7/21/2018 15:02,35,
7/21/2018,7/21/2018 15:09,35,
7/21/2018,7/21/2018 15:16,45,
7/21/2018,7/21/2018 15:23,55,
7/21/2018,7/21/2018 15:29,55,
7/21/2018,7/21/2018 15:37,55,
7/21/2018,7/21/2018 15:44,40,
7/21/2018,7/21/2018 15:51,35,
7/21/2018,7/21/2018 15:58,30,
7/21/2018,7/21/2018 16:02,30,
7/21/2018,7/21/2018 16:09,35,
7/21/2018,7/21/2018 16:16,40,
7/21/2018,7/21/2018 16:23,35,
7/21/2018,7/21/2018 16:29,35,
7/21/2018,7/21/2018 16:37,35,
7/21/2018,7/21/2018 16:44,35,
7/21/2018,7/21/2018 16:51,40,
7/21/2018,7/21/2018 16:53,40,
7/21/2018,7/21/2018 16:58,40,
7/21/2018,7/21/2018 17:02,35,
7/21/2018,7/21/2018 17:09,35,
7/21/2018,7/21/2018 17:16,35,
7/21/2018,7/21/2018 17:23,35,
7/21/2018,7/21/2018 17:29,35,
7/21/2018,7/21/2018 16:53,,42
7/21/2018,7/21/2018 17:37,35,
7/21/2018,7/21/2018 17:44,35,
7/21/2018,7/21/2018 17:51,30,
7/21/2018,7/21/2018 17:26,,31
7/21/2018,7/21/2018 17:58,35,
7/21/2018,7/21/2018 18:02,40,
7/21/2018,7/21/2018 18:09,40,
7/21/2018,7/21/2018 18:16,40,
7/21/2018,7/21/2018 18:23,30,
7/21/2018,7/21/2018 18:29,30,
7/21/2018,7/21/2018 18:37,35,
7/21/2018,7/21/2018 18:44,35,
7/21/2018,7/21/2018 18:51,35,
7/21/2018,7/21/2018 18:58,35,
7/21/2018,7/21/2018 19:02,50,
7/21/2018,7/21/2018 19:09,50,
7/21/2018,7/21/2018 19:16,55,
7/21/2018,7/21/2018 19:23,55,
7/21/2018,7/21/2018 19:29,35,
7/21/2018,7/21/2018 19:37,40,
7/21/2018,7/21/2018 19:44,40,
7/21/2018,7/21/2018 19:51,30,
7/21/2018,7/21/2018 19:58,30,
7/21/2018,7/21/2018 19:58,30,
7/21/2018,7/21/2018 20:02,30,
7/21/2018,7/21/2018 20:09,30,
7/21/2018,7/21/2018 20:16,35,
7/21/2018,7/21/2018 20:23,30,
7/21/2018,7/21/2018 20:29,50,
7/21/2018,7/21/2018 20:37,50,
7/21/2018,7/21/2018 20:44,50,
7/21/2018,7/21/2018 20:51,45,
7/21/2018,7/21/2018 20:55,40,
7/21/2018,7/21/2018 20:58,40,
7/21/2018,7/21/2018 21:02,40,
7/21/2018,7/21/2018 21:09,40,
7/21/2018,7/21/2018 21:16,40,
7/21/2018,7/21/2018 21:23,40,
7/21/2018,7/21/2018 21:29,40,
7/21/2018,7/21/2018 21:37,40,
7/21/2018,7/21/2018 21:44,10,
7/22/2018,7/22/2018 6:37,5,
7/22/2018,7/22/2018 6:44,5,
7/22/2018,7/22/2018 6:51,5,
7/22/2018,7/22/2018 6:58,5,
7/22/2018,7/22/2018 7:02,5,
7/22/2018,7/22/2018 7:09,15,
7/22/2018,7/22/2018 7:16,20,
7/22/2018,7/22/2018 7:23,30,
7/22/2018,7/22/2018 7:29,30,
7/22/2018,7/22/2018 7:37,45,
7/22/2018,7/22/2018 7:44,40,
7/22/2018,7/22/2018 7:51,45,
7/22/2018,7/22/2018 7:58,45,
7/22/2018,7/22/2018 8:02,45,
7/22/2018,7/22/2018 8:09,55,
7/22/2018,7/22/2018 8:23,55,
7/22/2018,7/22/2018 8:29,55,
7/22/2018,7/22/2018 8:37,45,
7/22/2018,7/22/2018 8:44,45,
7/22/2018,7/22/2018 8:51,45,
7/22/2018,7/22/2018 8:58,45,
7/22/2018,7/22/2018 9:02,45,
7/22/2018,7/22/2018 9:09,50,
7/22/2018,7/22/2018 9:16,55,
7/22/2018,7/22/2018 9:23,55,
7/22/2018,7/22/2018 9:29,30,
7/22/2018,7/22/2018 9:37,35,
7/22/2018,7/22/2018 9:44,40,
7/22/2018,7/22/2018 9:51,35,
7/22/2018,7/22/2018 9:58,40,
7/22/2018,7/22/2018 10:02,40,
7/22/2018,7/22/2018 10:09,35,
7/22/2018,7/22/2018 10:16,40,
7/22/2018,7/22/2018 10:23,40,
7/22/2018,7/22/2018 10:29,50,
7/22/2018,7/22/2018 10:37,40,
7/22/2018,7/22/2018 10:44,35,
7/22/2018,7/22/2018 10:51,35,
7/22/2018,7/22/2018 10:58,40,
7/22/2018,7/22/2018 11:02,40,
7/22/2018,7/22/2018 11:09,45,
7/22/2018,7/22/2018 11:16,40,
7/22/2018,7/22/2018 11:23,60,
7/22/2018,7/22/2018 11:29,70,
7/22/2018,7/22/2018 11:37,65,
7/22/2018,7/22/2018 11:44,60,
7/22/2018,7/22/2018 11:51,60,
7/22/2018,7/22/2018 11:58,60,
7/22/2018,7/22/2018 12:02,65,
7/22/2018,7/22/2018 12:09,65,
7/22/2018,7/22/2018 12:16,60,
7/22/2018,7/22/2018 12:23,60,
7/22/2018,7/22/2018 12:29,35,
7/22/2018,7/22/2018 12:37,40,
7/22/2018,7/22/2018 12:44,40,
7/22/2018,7/22/2018 12:51,45,
7/22/2018,7/22/2018 12:58,50,
7/22/2018,7/22/2018 13:02,45,
7/22/2018,7/22/2018 13:09,35,
7/22/2018,7/22/2018 13:16,30,
